CELEX_number,case_number,year_case,year_judgment,date_case,date_judgment,language,case_duration,rate_of_production,Maas,judges,judge_rapporteur,JR_experience,JR_Country,JR_Any_Judge,JR_France,JR_Belgium,JR_Belgium_French,JR_Lux,JR_Francophone,AG_Country,advocate_general,art_256,art_258,art_263,art_265,art_267,art_268,art_270,word_count
61956CJ0001,20455,1956,1956,1/12/56,12/17/56,French,340,8.591176471,0.206724181,"Delvaux, Hammes, Pilotti, Riese, Rueff, Serrarens, van Kleffens",Hammes,3,Luxembourg,1,0,0,0,1,1,Germany,Roemer,0,0,0,0,0,0,1,2921
61956CJ0002,20486,1956,1957,3/25/56,3/20/57,German,360,11.86944444,0.222394747,"Delvaux, Hammes, Pilotti, Rueff, Serrarens",Hammes,3,Luxembourg,1,0,0,0,1,1,Germany,Roemer,0,0,1,0,0,0,0,4273
61956CJ0007,20637,1956,1957,11/19/56,7/12/57,French,235,31.83404255,0.220808953,"Hammes, Riese, Rueff, Serrarens, van Kleffens",Riese,3,Germany,1,0,0,0,0,0,France,Lagrange,0,0,0,0,0,1,1,7481
61956CJ0008,20668,1956,1957,12/10/56,12/10/57,Italian,365,4.452054795,0.210568685,"Delvaux, Hammes, Pilotti, Riese, Rueff, Serrarens, van Kleffens",Riese,3,Germany,1,0,0,0,0,0,France,Lagrange,1,0,0,0,0,0,0,1625
61956CJ0009,20699,1956,1958,12/14/56,6/13/58,Italian,546,15.19230769,0.226702607,"Delvaux, Hammes, Pilotti, Riese, Rueff, Serrarens, van Kleffens",Rueff,3,France,0,1,0,0,0,1,Germany,Roemer,0,0,1,0,0,0,0,8295
61956CJ0010,20729,1956,1958,12/14/56,6/13/58,Italian,546,13.65201465,0.225168677,"Delvaux, Hammes, Pilotti, Riese, Rueff, Serrarens, van Kleffens",Rueff,3,France,0,1,0,0,0,1,Germany,Roemer,0,0,1,0,0,0,0,7454
61957CJ0001,20821,1957,1957,1/23/57,12/10/57,French,321,7.158878505,0.227593697,"Delvaux, Hammes, Pilotti, Riese, Rueff, Serrarens, van Kleffens",Serrarens,3,Netherlands,0,0,0,0,0,0,France,Lagrange,0,0,1,0,0,0,0,2298
61957CJ0002,20852,1957,1958,2/27/57,6/12/58,French,470,5.365957447,0.21404823,"Delvaux, Hammes, Pilotti, Riese, Rueff, Serrarens, van Kleffens",van Kleffens,3,Netherlands,1,0,0,0,0,0,France,Lagrange,0,0,1,0,0,0,0,2522
61957CJ0008,21033,1957,1958,3/9/57,6/21/58,French,469,15.18976546,0.224977445,"Delvaux, Hammes, Pilotti, Riese, Rueff, Serrarens, van Kleffens",Delvaux,1,Belgium,0,0,1,1,0,1,France,Lagrange,0,0,1,0,0,0,0,7124
61957CJ0009,21064,1957,1958,3/12/57,6/26/58,French,471,13.99363057,0.225292023,"Delvaux, Hammes, Pilotti, Riese, Rueff, Serrarens, van Kleffens",Delvaux,1,Belgium,0,0,1,1,0,1,France,Lagrange,0,0,1,0,0,0,0,6591
61957CJ0010,21094,1957,1958,3/12/57,6/26/58,French,471,14.3014862,0.223472042,"Delvaux, Hammes, Pilotti, Riese, Rueff, Serrarens, van Kleffens",Delvaux,1,Belgium,0,0,1,1,0,1,France,Lagrange,0,0,1,0,0,0,0,6736
61957CJ0011,21125,1957,1958,3/12/57,6/26/58,French,471,13.70912951,0.223099849,"Delvaux, Hammes, Pilotti, Riese, Rueff, Serrarens, van Kleffens",Delvaux,1,Belgium,0,0,1,1,0,1,France,Lagrange,0,0,1,0,0,0,0,6457
61957CJ0012,21155,1957,1958,3/12/57,6/26/58,French,471,15.57749469,0.22695925,"Delvaux, Hammes, Pilotti, Riese, Rueff, Serrarens, van Kleffens",Delvaux,1,Belgium,0,0,1,1,0,1,France,Lagrange,0,0,1,0,0,0,0,7337
61957CJ0013,13/57,1957,1958,3/12/57,6/21/58,German,466,16.18025751,0.224132202,"Delvaux, Hammes, Pilotti, Riese, Rueff, Serrarens, van Kleffens",Delvaux,1,Belgium,0,0,1,1,0,1,France,Lagrange,0,0,1,0,0,0,0,7540
61957CJ0015,15/57,1957,1958,5/6/57,6/12/58,French,402,14.1641791,0.220173408,"Delvaux, Hammes, Pilotti, Riese, Rueff, Serrarens, van Kleffens",van Kleffens,3,Netherlands,1,0,0,0,0,0,France,Lagrange,0,0,1,0,0,0,0,5694
61957CJ0017,17/57,1957,1959,9/14/57,2/4/59,Dutch,508,2.763779528,0.23157353,"Catalano, Delvaux, Donner, Hammes, Riese, Rossi, Rueff",Rueff,4,France,0,1,0,0,0,1,France,Lagrange,0,0,1,1,0,0,0,1404
61957CJ0018,18/57,1957,1959,9/26/57,3/20/59,German,540,5.02037037,0.219756375,"Delvaux, Donner, Hammes, Riese, Rossi",Hammes,4,Luxembourg,1,0,0,0,1,1,Germany,Roemer,0,0,1,0,0,0,0,2711
61958CJ0001,21186,1958,1959,1/4/58,2/4/59,German,396,13.37878788,0.23428771,"Catalano, Delvaux, Donner, Hammes, Riese, Rossi, Rueff",Riese,5,Germany,1,0,0,0,0,0,France,Lagrange,0,0,1,0,0,0,0,5298
61958CJ0003,21245,1958,1960,3/15/58,5/10/60,German,787,6.852604828,0.212677818,"Delvaux, Donner, Hammes, Riese, Rossi",Donner,1,Netherlands,0,0,0,0,0,0,France,Lagrange,0,0,1,0,0,0,0,5393
61958CJ0019,19/58,1958,1960,3/17/58,5/10/60,German,785,4.575796178,0.211052902,"Delvaux, Donner, Hammes, Riese, Rossi",Donner,1,Netherlands,0,0,0,0,0,0,France,Lagrange,0,0,1,0,0,0,0,3592
61958CJ0020,20/58,1958,1959,3/18/58,7/17/59,German,486,2.541152263,0.200704825,"Catalano, Delvaux, Donner, Hammes, Riese",Delvaux,2,Belgium,0,0,1,1,0,1,France,Lagrange,0,0,1,0,0,0,0,1235
61958CJ0021,21/58,1958,1959,3/18/58,7/17/59,German,486,2.613168724,0.203103169,"Catalano, Delvaux, Donner, Hammes, Riese",Delvaux,2,Belgium,0,0,1,1,0,1,France,Lagrange,0,0,1,0,0,0,0,1270
61958CJ0022,22/58,1958,1959,3/18/58,7/17/59,German,486,2.650205761,0.202907101,"Catalano, Delvaux, Donner, Hammes, Riese",Delvaux,2,Belgium,0,0,1,1,0,1,France,Lagrange,0,0,1,0,0,0,0,1288
61958CJ0023,23/58,1958,1959,3/18/58,7/17/59,German,486,2.74691358,0.20556562,"Catalano, Delvaux, Donner, Hammes, Riese",Delvaux,2,Belgium,0,0,1,1,0,1,France,Lagrange,0,0,1,0,0,0,0,1335
61958CJ0024,24/58,1958,1960,4/1/58,7/15/60,French,836,6.34569378,0.235403236,"Delvaux, Donner, Hammes, Riese, Rossi",Rossi,1,Italy,1,0,0,0,0,0,Germany,Roemer,0,0,1,1,0,0,0,5305
61958CJ0027,27/58,1958,1960,4/19/58,5/10/60,French,752,7.384308511,0.22791946,"Delvaux, Donner, Hammes, Riese, Rossi",Rossi,1,Italy,1,0,0,0,0,0,Germany,Roemer,0,0,1,0,0,0,0,5553
61958CJ0032,32/58,1958,1959,6/30/58,7/17/59,French,382,15.61780105,0.222489893,"Catalano, Delvaux, Donner, Hammes, Riese, Rossi, Rueff",Riese,5,Germany,1,0,0,0,0,0,France,Lagrange,0,0,1,1,0,0,0,5966
61958CJ0036,36/58,1958,1959,9/5/58,7/17/59,Italian,315,8.828571429,0.216145638,"Catalano, Delvaux, Donner, Hammes, Riese, Rossi, Rueff",Rueff,5,France,0,1,0,0,0,1,Germany,Roemer,0,0,1,0,0,0,0,2781
61958CJ0042,42/58,1958,1959,10/20/58,7/17/59,French,270,17.22222222,0.220346866,"Catalano, Delvaux, Donner, Hammes, Riese, Rossi, Rueff",Riese,5,Germany,1,0,0,0,0,0,France,Lagrange,0,0,1,1,0,0,0,4650
61959CJ0001,21551,1959,1959,1/6/59,12/17/59,French,345,5.307246377,0.223527768,"Catalano, Delvaux, Donner, Riese, Rossi",Delvaux,3,Belgium,0,0,1,1,0,1,France,Lagrange,1,0,0,0,0,0,0,1831
61959CJ0003,21610,1959,1960,1/31/59,3/8/60,German,402,5.980099502,0.22785329,"Catalano, Delvaux, Donner, Riese, Rossi",Donner,2,Netherlands,0,0,0,0,0,0,France,Lagrange,0,0,1,0,0,0,0,2404
61959CJ0004,21641,1959,1960,2/14/59,4/4/60,German,415,6.539759036,0.218681152,"Catalano, Delvaux, Donner, Hammes, Riese",Hammes,6,Luxembourg,1,0,0,0,1,1,Germany,Roemer,0,0,1,0,0,0,0,2714
61959CJ0014,14/59,1959,1959,2/27/59,12/17/59,French,293,19.20136519,0.22061346,"Catalano, Delvaux, Donner, Hammes, Riese, Rossi, Rueff",Riese,6,Germany,1,0,0,0,0,0,France,Lagrange,0,0,1,0,0,0,0,5626
61959CJ0015,15/59,1959,1960,3/27/59,2/12/60,French,322,7.52484472,0.224764271,"Catalano, Delvaux, Donner, Hammes, Riese",Catalano,1,Italy,0,0,0,0,0,0,France,Lagrange,0,0,1,0,0,0,0,2423
61959CJ0016,16/59,1959,1960,3/25/59,2/12/60,German,324,6.827160494,0.2178372,"Catalano, Delvaux, Donner, Riese, Rossi",Delvaux,3,Belgium,0,0,1,1,0,1,France,Lagrange,0,0,1,0,0,0,0,2212
61959CJ0020,20/59,1959,1960,4/4/59,7/15/60,Italian,468,9.307692308,0.224829082,"Delvaux, Donner, Hammes, Riese, Rossi",Hammes,6,Luxembourg,1,0,0,0,1,1,Germany,Roemer,0,0,1,0,0,0,0,4356
61959CJ0023,23/59,1959,1959,4/14/59,12/17/59,Italian,247,6.846153846,0.204645295,"Catalano, Donner, Hammes, Riese, Rossi",Riese,6,Germany,1,0,0,0,0,0,France,Lagrange,0,0,0,0,0,1,0,1691
61959CJ0025,25/59,1959,1960,4/2/59,7/15/60,Dutch,470,9.731914894,0.22137674,"Delvaux, Donner, Hammes, Riese, Rossi",Hammes,6,Luxembourg,1,0,0,0,1,1,Germany,Roemer,0,0,1,0,0,0,0,4574
61959CJ0027,27/59,1959,1960,5/8/59,7/15/60,Italian,434,10.84101382,0.225370217,"Donner, Hammes, Rossi",Hammes,6,Luxembourg,1,0,0,0,1,1,Germany,Roemer,0,0,0,0,0,0,1,4705
61959CJ0030,30/59,1959,1961,6/5/59,2/23/61,Dutch,629,13.3354531,0.218926863,"Catalano, Delvaux, Donner, Hammes, Riese, Rossi, Rueff",Rueff,6,France,0,1,0,0,0,1,France,Lagrange,0,0,1,0,0,0,0,8388
61959CJ0031,31/59,1959,1960,6/8/59,4/14/60,Italian,311,8.77170418,0.218600008,"Catalano, Delvaux, Donner, Hammes, Riese",Hammes,6,Luxembourg,1,0,0,0,1,1,Germany,Roemer,0,0,1,0,0,0,0,2728
61959CJ0033,33/59,1959,1962,7/3/59,12/14/62,French,1260,1.523809524,0.202619481,"Delvaux, Donner, Hammes, Riese, Rossi",Riese,6,Germany,1,0,0,0,0,0,France,Lagrange,0,0,0,0,0,1,0,1920
61959CJ0034,34/59,1959,1960,7/15/59,4/4/60,French,264,2.992424242,0.211550727,"Donner, Hammes, Rossi",Donner,2,Netherlands,0,0,0,0,0,0,Germany,Roemer,0,0,0,0,0,0,1,790
61959CJ0036,36/59,1959,1960,7/25/59,7/15/60,German,356,12.83707865,0.216156568,"Catalano, Delvaux, Donner, Riese, Rossi",Delvaux,3,Belgium,0,0,1,1,0,1,France,Lagrange,0,0,1,0,0,0,0,4570
61959CJ0041,41/59,1959,1960,9/1/59,12/16/60,German,472,3.548728814,0.218621019,"Catalano, Delvaux, Donner, Hammes, Riese",Donner,2,Netherlands,0,0,0,0,0,0,Germany,Roemer,0,0,1,1,0,0,0,1675
61959CJ0042,42/59,1959,1961,9/7/59,3/22/61,French,562,14.49822064,0.222721115,"Catalano, Delvaux, Donner, Hammes, Riese, Rossi, Rueff",Riese,6,Germany,1,0,0,0,0,0,France,Lagrange,0,0,1,1,0,0,0,8148
61959CJ0043,43/59,1959,1960,9/24/59,7/15/60,French,295,11.2,0.223702063,"Delvaux, Donner, Hammes, Riese, Rossi",Rossi,2,Italy,1,0,0,0,0,0,Germany,Roemer,0,0,0,0,0,1,1,3304
61959CJ0044,44/59,1959,1960,9/24/59,12/16/60,French,449,10.20489978,0.222035591,"Delvaux, Donner, Hammes, Riese, Rossi",Rossi,2,Italy,1,0,0,0,0,0,Germany,Roemer,0,0,0,0,0,1,1,4582
61959CJ0046,46/59,1959,1962,9/28/59,12/14/62,Italian,1173,2.572037511,0.203718782,"Delvaux, Donner, Hammes, Riese, Rossi",Riese,6,Germany,1,0,0,0,0,0,France,Lagrange,0,0,0,0,0,1,0,3017
61960CJ0001,21916,1960,1960,2/12/60,5/10/60,Italian,88,13.43181818,0.21796024,"Catalano, Delvaux, Donner, Riese, Rossi",Catalano,2,Italy,0,0,0,0,0,0,France,Lagrange,0,0,1,0,0,0,0,1182
61960CJ0002,21947,1960,1961,2/22/60,7/13/61,German,507,5.289940828,0.233788961,"Catalano, Delvaux, Donner, Hammes, Riese, Rossi, Rueff",Catalano,2,Italy,0,0,0,0,0,0,France,Lagrange,0,0,1,0,0,0,0,2682
61960CJ0005,22037,1960,1961,3/30/60,6/1/61,Italian,428,1.950934579,0.226177482,"Catalano, Delvaux, Donner, Hammes, Riese, Rossi, Rueff",Delvaux,4,Belgium,0,0,1,1,0,1,France,Lagrange,0,0,1,0,0,0,0,835
61960CJ0006,22068,1960,1960,4/1/60,12/16/60,French,259,27.6988417,0.226476636,"Catalano, Donner, Hammes, Riese, Rossi",Riese,7,Germany,1,0,0,0,0,0,France,Lagrange,0,0,0,0,0,0,1,7174
61960CJ0009,22160,1960,1961,5/4/60,7/14/61,French,436,9.364678899,0.228776228,"Catalano, Delvaux, Donner, Hammes, Riese, Rossi, Rueff",Catalano,2,Italy,0,0,0,0,0,0,Germany,Roemer,0,0,0,1,0,1,0,4083
61960CJ0013,13/60,1960,1962,8/6/60,5/18/62,German,650,13.90923077,0.214554379,"Donner, Hammes, Riese, Rossi, Rueff",Rueff,7,France,0,1,0,0,0,1,Germany,Roemer,0,0,1,0,0,0,0,9041
61960CJ0014,14/60,1960,1961,9/30/60,7/13/61,Italian,286,10.93706294,0.198213391,"Catalano, Delvaux, Donner, Hammes, Riese, Rossi, Rueff",Riese,7,Germany,1,0,0,0,0,0,France,Lagrange,0,0,0,0,0,1,0,3128
61960CJ0015,15/60,1960,1961,10/19/60,6/1/61,French,225,9.777777778,0.230917707,"Catalano, Delvaux, Riese, Rossi, Rueff",Catalano,2,Italy,0,0,0,0,0,0,Germany,Roemer,0,0,0,0,0,0,1,2200
61960CJ0018,18/60,1960,1962,7/1/61,7/12/62,Dutch,376,6.236702128,0.213958772,"Delvaux, Donner, Riese, Rossi, Trabucchi",Delvaux,4,Belgium,0,0,1,1,0,1,France,Lagrange,0,0,0,0,0,1,0,2345
61960CJ0019,19/60,1960,1961,10/26/60,12/15/61,French,415,7.313253012,0.209820043,"Delvaux, Donner, Hammes, Rossi, Rueff",Hammes,7,Luxembourg,1,0,0,0,1,1,Germany,Roemer,0,0,1,1,0,1,0,3035
61960CJ0022,22/60,1960,1961,11/8/60,7/13/61,French,247,5.87854251,0.205434599,"Hammes, Rossi, Rueff",Rueff,7,France,0,1,0,0,0,1,Germany,Roemer,0,0,0,1,0,1,1,1452
61960CJ0025,25/60,1960,1962,3/28/61,3/1/62,French,338,9.174556213,0.219654737,"Delvaux, Riese, Rossi",Rossi,3,Italy,1,0,0,0,0,0,France,Lagrange,0,0,0,0,0,1,1,3101
61961CJ0007,22463,1961,1961,3/20/61,12/19/61,Italian,274,8.99270073,0.219706802,"Catalano, Delvaux, Donner, Hammes, Riese, Rossi, Rueff",Delvaux,5,Belgium,0,0,1,1,0,1,France,Lagrange,0,1,0,0,0,0,0,2464
61961CJ0009,22525,1961,1962,4/6/61,7/12/62,Dutch,462,8.084415584,0.22390157,"Delvaux, Donner, Hammes, Lecourt, Riese, Rossi, Trabucchi",Hammes,8,Luxembourg,1,0,0,0,1,1,Germany,Roemer,0,0,1,0,0,0,0,3735
61961CJ0010,22555,1961,1962,4/12/61,2/27/62,Italian,321,6.109034268,0.216824973,"Catalano, Delvaux, Donner, Hammes, Riese, Rossi, Rueff",Delvaux,5,Belgium,0,0,1,1,0,1,France,Lagrange,0,1,0,0,0,0,0,1961
61961CJ0012,22616,1961,1961,4/20/61,12/14/61,Dutch,238,5.411764706,0.210785044,"Catalano, Delvaux, Riese",Catalano,3,Italy,0,0,0,0,0,0,France,Lagrange,0,0,0,0,0,0,1,1288
61961CJ0013,13/61,1961,1962,7/10/61,4/6/62,Dutch,270,13.24444444,0.241821378,"Delvaux, Donner, Hammes, Riese, Rueff",Donner,4,Netherlands,0,0,0,0,0,0,France,Lagrange,0,0,0,0,1,0,0,3576
61961CJ0014,14/61,1961,1962,7/27/61,7/12/62,French,350,12.66,0.216047701,"Delvaux, Donner, Hammes, Lecourt, Riese, Rossi, Trabucchi",Riese,8,Germany,1,0,0,0,0,0,France,Lagrange,0,0,1,0,0,0,0,4431
61961CJ0016,16/61,1961,1962,8/2/61,7/12/62,Italian,344,10.86627907,0.206807831,"Delvaux, Donner, Hammes, Riese, Trabucchi",Hammes,8,Luxembourg,1,0,0,0,1,1,Germany,Roemer,1,0,0,0,0,0,0,3738
61961CJ0017,17/61,1961,1962,8/7/61,7/13/62,German,340,13.39411765,0.219526102,"Delvaux, Donner, Hammes, Riese, Trabucchi",Trabucchi,1,Italy,0,0,0,0,0,0,France,Lagrange,0,0,1,0,0,0,0,4554
61961CJ0019,19/61,1961,1962,8/28/61,7/13/62,German,319,13.37931034,0.217902672,"Delvaux, Donner, Hammes, Riese, Trabucchi",Trabucchi,1,Italy,0,0,0,0,0,0,France,Lagrange,0,0,1,0,0,0,0,4268
61961CJ0021,21/61,1961,1962,12/8/61,4/6/62,Italian,119,13.10084034,0.209831256,"Delvaux, Donner, Riese, Rossi, Rueff",Rueff,8,France,0,1,0,0,0,1,Germany,Roemer,0,0,0,1,0,0,0,1559
61962CJ0002,22678,1962,1962,2/21/62,12/14/62,French,296,10.71283784,0.217683409,"Delvaux, Donner, Hammes, Lecourt, Riese, Rossi, Trabucchi",Lecourt,1,France,0,1,0,0,0,1,Germany,Roemer,0,1,0,0,0,0,0,3171
61962CJ0005,22767,1962,1962,4/2/62,12/14/62,Italian,256,10.35546875,0.214308151,"Delvaux, Donner, Hammes, Lecourt, Riese, Rossi, Trabucchi",Delvaux,6,Belgium,0,0,1,1,0,1,France,Lagrange,0,0,1,1,0,0,0,2651
61962CJ0016,16/62,1962,1962,6/19/62,12/14/62,French,178,10.52247191,0.22957405,"Delvaux, Donner, Hammes, Lecourt, Riese, Rossi, Trabucchi",Riese,9,Germany,1,0,0,0,0,0,France,Lagrange,0,0,1,0,0,0,0,1873
61962CJ0018,18/62,1962,1963,7/4/62,12/16/63,Italian,530,8.830188679,0.217796902,"Delvaux, Donner, Hammes, Lecourt, Rossi, Strauss, Trabucchi",Delvaux,6,Belgium,0,0,1,1,0,1,France,Lagrange,0,0,1,0,0,0,0,4680
61962CJ0019,19/62,1962,1962,7/7/62,12/14/62,"French, German",160,11.71875,0.225120662,"Delvaux, Donner, Hammes, Lecourt, Riese, Rossi, Trabucchi",Trabucchi,2,Italy,0,0,0,0,0,0,France,Lagrange,0,0,1,0,0,0,0,1875
61962CJ0024,24/62,1962,1963,7/26/62,7/4/63,German,343,4.921282799,0.213464294,"Delvaux, Donner, Hammes, Lecourt, Rossi, Strauss, Trabucchi",Lecourt,1,France,0,1,0,0,0,1,Germany,Roemer,0,0,1,0,0,0,0,1688
61962CJ0025,25/62,1962,1963,7/30/62,7/15/63,German,350,4.845714286,0.233746726,"Delvaux, Donner, Hammes, Lecourt, Rossi, Strauss, Trabucchi",Rossi,5,Italy,1,0,0,0,0,0,Germany,Roemer,0,0,1,0,0,1,0,1696
61962CJ0026,26/62,1962,1963,8/16/62,2/5/63,Dutch,173,17.20231214,0.224900846,"Delvaux, Donner, Hammes, Lecourt, Riese, Rossi, Trabucchi",Hammes,9,Luxembourg,1,0,0,0,1,1,Germany,Roemer,0,0,0,0,1,0,0,2976
61962CJ0028,28/62,1962,1963,9/19/62,3/27/63,Dutch,189,7.587301587,0.220260977,"Delvaux, Donner, Hammes, Lecourt, Rossi, Strauss, Trabucchi",Trabucchi,2,Italy,0,0,0,0,0,0,France,Lagrange,0,0,0,0,1,0,0,1434
61962CJ0031,31/62,1962,1962,10/4/62,12/14/62,German,71,20.91549296,0.218651087,"Delvaux, Donner, Hammes, Lecourt, Riese, Rossi, Trabucchi",Hammes,9,Luxembourg,1,0,0,0,1,1,Germany,Roemer,0,0,1,0,0,0,0,1485
61962CJ0032,32/62,1962,1963,10/4/62,7/4/63,French,273,5.483516484,0.20514724,"Delvaux, Strauss, Trabucchi",Trabucchi,2,Italy,0,0,0,0,0,0,France,Lagrange,0,0,0,0,0,0,1,1497
61962CJ0034,34/62,1962,1963,10/26/62,7/15/63,German,262,14.71755725,0.223594852,"Delvaux, Donner, Hammes, Lecourt, Rossi, Strauss, Trabucchi",Donner,5,Netherlands,0,0,0,0,0,0,Germany,Roemer,0,0,1,0,0,0,0,3856
61962CJ0035,35/62,1962,1963,12/5/62,12/5/63,French,365,6.564383562,0.214173669,"Delvaux, Strauss, Trabucchi",Trabucchi,2,Italy,0,0,0,0,0,0,France,Lagrange,0,0,0,0,0,0,1,2396
61962CJ0036,36/62,1962,1963,12/28/62,12/16/63,French,353,3.900849858,0.198956723,"Delvaux, Donner, Hammes, Lecourt, Rossi, Strauss, Trabucchi",Strauss,1,Germany,1,0,0,0,0,0,France,Lagrange,0,0,0,0,0,1,0,1377
61963CJ0001,23012,1963,1963,1/7/63,12/16/63,Italian,343,2.612244898,0.21135115,"Delvaux, Donner, Hammes, Lecourt, Rossi",Hammes,10,Luxembourg,1,0,0,0,1,1,Germany,Roemer,0,0,1,0,0,0,0,896
61963CJ0002,23043,1963,1963,1/28/63,12/16/63,Italian,322,10.3447205,0.217416992,"Delvaux, Donner, Hammes, Lecourt, Rossi, Strauss, Trabucchi",Rossi,6,Italy,1,0,0,0,0,0,Germany,Roemer,1,0,0,0,0,0,0,3331
61963CJ0011,23316,1963,1964,2/9/63,3/19/64,French,404,12.36386139,0.227811385,"Delvaux, Strauss, Trabucchi",Strauss,2,Germany,1,0,0,0,0,0,France,Lagrange,0,0,0,0,0,1,1,4995
61963CJ0012,23346,1963,1963,2/12/63,7/4/63,German,142,7.302816901,0.213755314,"Delvaux, Donner, Hammes, Lecourt, Rossi, Strauss, Trabucchi",Lecourt,2,France,0,1,0,0,0,1,Germany,Roemer,0,0,0,1,0,0,0,1037
61963CJ0013,13/63,1963,1963,2/21/63,7/17/63,Italian,146,24.03424658,0.21162255,"Delvaux, Donner, Hammes, Lecourt, Rossi, Strauss, Trabucchi",Strauss,2,Germany,1,0,0,0,0,0,France,Lagrange,0,0,1,0,0,0,0,3509
61963CJ0014,14/63,1963,1963,2/22/63,12/16/63,French,297,6.013468013,0.214114119,"Delvaux, Donner, Hammes, Lecourt, Rossi, Strauss, Trabucchi",Delvaux,7,Belgium,0,0,1,1,0,1,France,Lagrange,0,0,1,0,0,0,0,1786
61963CJ0015,15/63,1963,1964,2/28/63,3/4/64,French,370,4.024324324,0.212082637,"Delvaux, Donner, Hammes, Lecourt, Rossi, Strauss, Trabucchi",Trabucchi,3,Italy,0,0,0,0,0,0,France,Lagrange,0,0,0,0,0,0,1,1489
61963CJ0018,18/63,1963,1964,3/20/63,3/19/64,French,365,7.865753425,0.205486441,"Delvaux, Strauss, Trabucchi",Strauss,2,Germany,1,0,0,0,0,0,France,Lagrange,0,0,0,0,0,0,1,2871
61963CJ0019,19/63,1963,1965,3/27/63,7/8/65,French,834,8.556354916,0.214009422,"Delvaux, Strauss, Trabucchi",Strauss,2,Germany,1,0,0,0,0,0,France,Gand,0,0,0,0,0,0,1,7136
61963CJ0020,20/63,1963,1964,4/2/63,3/19/64,French,352,5.133522727,0.229089142,"Delvaux, Donner, Lecourt, Rossi, Trabucchi",Trabucchi,3,Italy,0,0,0,0,0,0,France,Lagrange,0,0,0,0,0,0,1,1807
